datetime,temp,humidity,precip,windspeed,cloudcover,conditions
2024-01-01 00:00:00,8.6,77.06,0.0,18.8,92.3,Overcast
2024-01-01 01:00:00,8.1,78.59,0.0,17.4,97.0,Overcast
2024-01-01 02:00:00,8.1,78.04,0.0,16.6,97.0,Overcast
2024-01-01 03:00:00,8.3,77.52,0.0,15.9,100.0,Overcast
2024-01-01 04:00:00,8.6,71.85,0.0,16.4,84.5,Partially cloudy
2024-01-01 05:00:00,8.3,71.78,0.0,16.8,59.2,Partially cloudy
2024-01-01 06:00:00,8.0,73.25,1.59,17.6,0.0,Rain
2024-01-01 07:00:00,7.5,76.33,0.0,14.9,50.2,Partially cloudy
2024-01-01 08:00:00,7.1,79.53,0.0,12.8,0.0,Clear
2024-01-01 09:00:00,7.0,78.42,0.0,10.5,0.0,Clear
2024-01-01 10:00:00,7.6,75.8,0.0,13.2,0.0,Clear
2024-01-01 11:00:00,8.3,73.31,0.0,11.5,0.0,Clear
2024-01-01 12:00:00,8.8,72.39,0.0,11.5,5.0,Clear
2024-01-01 13:00:00,8.6,70.85,0.0,9.1,40.4,Partially cloudy
2024-01-01 14:00:00,9.1,71.95,0.0,8.8,65.7,Partially cloudy
2024-01-01 15:00:00,9.1,74.5,0.0,7.3,65.7,Partially cloudy
2024-01-01 16:00:00,9.0,79.32,0.0,9.1,93.1,Overcast
2024-01-01 17:00:00,8.6,87.3,0.001,8.7,93.1,"Rain, Overcast"
2024-01-01 18:00:00,9.0,92.23,0.008,11.1,100.0,"Rain, Overcast"
2024-01-01 19:00:00,9.3,92.22,0.002,12.6,100.0,"Rain, Overcast"
2024-01-01 20:00:00,9.5,92.23,0.004,14.0,100.0,"Rain, Overcast"
2024-01-01 21:00:00,9.6,93.5,0.023,13.6,100.0,"Rain, Overcast"
2024-01-01 22:00:00,10.1,94.78,0.004,13.3,97.0,"Rain, Overcast"
2024-01-01 23:00:00,11.1,93.57,0.004,15.9,100.0,"Rain, Overcast"
2024-01-02 00:00:00,11.2,96.08,0.019,16.7,100.0,"Rain, Overcast"
2024-01-02 01:00:00,12.1,93.62,0.0,15.7,100.0,Overcast
2024-01-02 02:00:00,12.3,89.39,0.0,15.9,97.0,Overcast
2024-01-02 03:00:00,12.0,85.25,0.0,17.0,84.8,Partially cloudy
2024-01-02 04:00:00,11.6,82.97,0.0,11.5,97.0,Overcast
2024-01-02 05:00:00,11.5,83.53,0.0,10.6,78.7,Partially cloudy
2024-01-02 06:00:00,11.8,81.9,7.95,10.6,80.9,"Rain, Partially cloudy"
2024-01-02 07:00:00,11.6,85.81,0.0,9.9,93.1,Overcast
2024-01-02 08:00:00,11.1,90.51,0.0,7.1,93.1,Overcast
2024-01-02 09:00:00,11.0,94.19,0.004,6.8,93.1,"Rain, Overcast"
2024-01-02 10:00:00,11.1,94.82,0.004,11.4,96.2,"Rain, Overcast"
2024-01-02 11:00:00,12.3,94.86,0.002,13.2,93.1,"Rain, Overcast"
2024-01-02 12:00:00,12.5,93.65,0.026,17.4,96.2,"Rain, Overcast"
2024-01-02 13:00:00,12.8,92.42,0.004,19.9,96.2,"Rain, Overcast"
2024-01-02 14:00:00,13.6,84.91,0.001,20.2,96.2,"Rain, Overcast"
2024-01-02 15:00:00,12.5,86.48,0.0,25.1,93.1,Overcast
2024-01-02 16:00:00,11.8,69.06,0.0,36.5,93.1,Overcast
2024-01-02 17:00:00,11.5,72.92,0.0,32.7,77.7,Partially cloudy
2024-01-02 18:00:00,11.5,71.91,0.0,27.7,97.0,Overcast
2024-01-02 19:00:00,11.0,75.37,0.0,26.1,97.0,Overcast
2024-01-02 20:00:00,11.1,72.31,0.0,24.5,100.0,Overcast
2024-01-02 21:00:00,11.0,71.79,0.0,20.4,97.0,Overcast
2024-01-02 22:00:00,10.6,73.73,0.0,17.9,57.8,Partially cloudy
2024-01-02 23:00:00,10.6,75.8,0.0,16.7,97.0,Overcast
2024-01-03 00:00:00,10.6,74.76,0.0,16.0,97.0,Overcast
2024-01-03 01:00:00,9.6,78.82,0.0,13.1,30.0,Partially cloudy
2024-01-03 02:00:00,9.8,80.52,0.0,12.3,37.7,Partially cloudy
2024-01-03 03:00:00,9.8,80.51,0.0,10.3,59.3,Partially cloudy
2024-01-03 04:00:00,9.8,81.6,0.0,13.3,84.5,Partially cloudy
2024-01-03 05:00:00,10.1,78.88,0.0,15.9,93.1,Overcast
2024-01-03 06:00:00,9.6,81.01,0.0,14.0,65.4,Partially cloudy
2024-01-03 07:00:00,9.3,78.79,0.0,12.6,49.8,Partially cloudy
2024-01-03 08:00:00,9.3,79.88,0.0,10.3,77.6,Partially cloudy
2024-01-03 09:00:00,10.0,79.45,0.0,10.6,62.2,Partially cloudy
2024-01-03 10:00:00,10.5,78.97,0.0,12.1,65.3,Partially cloudy
2024-01-03 11:00:00,11.8,71.48,0.0,13.9,90.0,Partially cloudy
2024-01-03 12:00:00,11.1,76.42,0.0,9.7,67.7,Partially cloudy
2024-01-03 13:00:00,10.5,83.39,0.0,11.9,90.0,Partially cloudy
2024-01-03 14:00:00,11.3,75.37,0.0,15.9,65.5,Partially cloudy
2024-01-03 15:00:00,11.0,73.81,0.0,16.5,77.7,Partially cloudy
2024-01-03 16:00:00,10.6,74.8,0.001,12.4,77.7,"Rain, Partially cloudy"
2024-01-03 17:00:00,10.5,77.9,0.0,14.1,80.8,Partially cloudy
2024-01-03 18:00:00,9.6,86.76,0.407,12.7,96.2,"Rain, Overcast"
2024-01-03 19:00:00,9.3,89.11,0.795,12.3,96.2,"Rain, Overcast"
2024-01-03 20:00:00,8.8,92.17,0.596,13.2,77.7,"Rain, Partially cloudy"
2024-01-03 21:00:00,9.1,90.33,0.0,12.8,100.0,Overcast
2024-01-03 22:00:00,9.1,86.7,0.0,11.8,100.0,Overcast
2024-01-03 23:00:00,9.1,84.37,0.0,11.7,80.8,Partially cloudy
2024-01-04 00:00:00,8.6,88.47,0.005,11.1,93.1,"Rain, Overcast"
2024-01-04 01:00:00,8.6,86.67,0.0,10.6,77.7,Partially cloudy
2024-01-04 02:00:00,8.6,87.26,0.0,12.2,100.0,Overcast
2024-01-04 03:00:00,8.8,84.35,0.0,11.8,93.8,Overcast
2024-01-04 04:00:00,8.6,82.59,0.0,12.1,30.0,Partially cloudy
2024-01-04 05:00:00,7.6,85.38,0.0,13.8,0.0,Clear
2024-01-04 06:00:00,7.0,85.91,0.0,11.1,0.0,Clear
2024-01-04 07:00:00,6.5,85.86,0.0,7.9,0.0,Clear
2024-01-04 08:00:00,6.1,86.44,0.0,8.3,0.0,Clear
2024-01-04 09:00:00,6.1,87.02,0.0,7.1,0.0,Clear
2024-01-04 10:00:00,7.1,82.4,0.0,7.2,0.0,Clear
2024-01-04 11:00:00,8.3,77.55,0.0,5.4,0.0,Clear
2024-01-04 12:00:00,8.6,76.01,0.0,5.0,0.0,Clear
2024-01-04 13:00:00,8.6,76.01,0.0,4.3,0.0,Clear
2024-01-04 14:00:00,8.6,77.07,0.0,5.0,60.3,Partially cloudy
2024-01-04 15:00:00,9.0,76.61,0.001,7.4,97.0,"Rain, Overcast"
2024-01-04 16:00:00,8.3,87.25,0.803,6.2,96.2,"Rain, Overcast"
2024-01-04 17:00:00,8.0,89.06,2.993,10.2,100.0,"Rain, Overcast"
2024-01-04 18:00:00,7.8,92.14,0.054,11.9,100.0,"Rain, Overcast"
2024-01-04 19:00:00,7.8,95.33,4.973,13.7,96.2,"Rain, Overcast"
2024-01-04 20:00:00,8.3,95.34,5.964,10.7,100.0,"Rain, Overcast"
2024-01-04 21:00:00,8.6,96.0,6.204,10.2,100.0,"Rain, Overcast"
2024-01-04 22:00:00,8.6,96.65,0.002,9.9,97.0,"Rain, Overcast"
2024-01-04 23:00:00,7.6,93.38,0.798,10.3,100.0,"Rain, Overcast"
2024-01-05 00:00:00,6.8,92.05,0.399,13.3,100.0,"Rain, Overcast"
2024-01-05 01:00:00,6.0,92.03,0.597,14.3,100.0,"Rain, Overcast"
2024-01-05 02:00:00,5.8,90.11,0.001,17.1,100.0,"Rain, Overcast"
2024-01-05 03:00:00,5.8,85.81,0.002,15.8,97.0,"Rain, Overcast"
2024-01-05 04:00:00,5.5,88.85,0.002,12.3,100.0,"Rain, Overcast"
2024-01-05 05:00:00,5.6,94.58,0.2,13.5,93.1,"Rain, Overcast"
2024-01-05 06:00:00,6.0,90.75,0.0,13.7,97.0,Overcast
2024-01-05 07:00:00,6.1,88.27,0.0,11.8,93.1,Overcast
2024-01-05 08:00:00,6.1,87.05,0.0,11.5,97.0,Overcast
2024-01-05 09:00:00,6.0,87.63,0.009,10.3,74.8,"Rain, Partially cloudy"
2024-01-05 10:00:00,6.1,87.03,0.0,10.3,96.2,Overcast
2024-01-05 11:00:00,6.8,82.96,0.0,10.0,93.1,Overcast
2024-01-05 12:00:00,7.3,81.3,0.0,8.8,100.0,Overcast
2024-01-05 13:00:00,7.5,79.08,0.0,10.0,96.2,Overcast
2024-01-05 14:00:00,7.6,79.64,0.0,9.6,96.2,Overcast
2024-01-05 15:00:00,7.8,78.56,0.0,9.3,96.2,Overcast
2024-01-05 16:00:00,7.6,78.52,0.0,7.3,100.0,Overcast
2024-01-05 17:00:00,7.6,78.54,0.0,6.2,96.2,Overcast
2024-01-05 18:00:00,7.6,77.98,0.0,6.2,96.2,Overcast
2024-01-05 19:00:00,7.6,79.64,0.0,6.6,96.2,Overcast
2024-01-05 20:00:00,6.8,84.13,0.199,5.6,100.0,"Rain, Overcast"
2024-01-05 21:00:00,6.6,84.11,0.001,3.5,97.0,"Rain, Overcast"
2024-01-05 22:00:00,6.3,82.91,0.0,4.1,96.2,Overcast
2024-01-05 23:00:00,6.1,84.06,0.0,2.5,100.0,Overcast
2024-01-06 00:00:00,6.3,85.29,0.0,3.3,100.0,Overcast
2024-01-06 01:00:00,6.3,82.93,0.0,2.9,100.0,Overcast
2024-01-06 02:00:00,6.6,81.24,0.0,3.8,97.0,Overcast
2024-01-06 03:00:00,6.3,82.91,0.0,3.8,100.0,Overcast
2024-01-06 04:00:00,6.1,82.32,0.0,5.5,97.0,Overcast
2024-01-06 05:00:00,6.1,78.34,0.001,5.8,100.0,"Rain, Overcast"
2024-01-06 06:00:00,6.0,78.32,0.0,4.6,100.0,Overcast
2024-01-06 07:00:00,5.8,78.29,0.0,4.9,96.2,Overcast
2024-01-06 08:00:00,6.0,77.22,0.0,5.8,96.2,Overcast
2024-01-06 09:00:00,6.1,77.78,0.002,6.8,93.1,"Rain, Overcast"
2024-01-06 10:00:00,6.1,77.78,0.0,7.6,93.1,Overcast
2024-01-06 11:00:00,6.3,77.25,0.0,6.4,96.2,Overcast
2024-01-06 12:00:00,6.6,76.75,0.0,7.6,93.1,Overcast
2024-01-06 13:00:00,6.6,77.82,0.0,8.1,93.1,Overcast
2024-01-06 14:00:00,6.6,75.67,0.0,8.1,96.2,Overcast
2024-01-06 15:00:00,6.8,74.1,0.0,6.9,96.2,Overcast
2024-01-06 16:00:00,6.5,73.52,0.0,8.8,93.1,Overcast
2024-01-06 17:00:00,6.1,77.76,0.0,6.1,96.2,Overcast
2024-01-06 18:00:00,5.8,79.95,0.0,7.3,97.0,Overcast
2024-01-06 19:00:00,5.6,80.5,0.0,6.5,97.0,Overcast
2024-01-06 20:00:00,5.8,81.1,0.001,5.8,93.1,"Rain, Overcast"
2024-01-06 21:00:00,5.6,82.23,0.002,5.7,97.0,"Rain, Overcast"
2024-01-06 22:00:00,5.3,85.15,0.199,6.5,96.2,"Rain, Overcast"
2024-01-06 23:00:00,5.1,82.18,0.0,6.9,93.1,Overcast
2024-01-07 00:00:00,4.6,78.1,0.0,8.5,93.1,Overcast
2024-01-07 01:00:00,4.1,75.25,0.0,7.4,96.9,Overcast
2024-01-07 02:00:00,3.8,74.08,0.0,8.4,65.9,Partially cloudy
2024-01-07 03:00:00,3.8,69.94,0.0,6.8,65.9,Partially cloudy
2024-01-07 04:00:00,3.6,68.35,0.0,8.9,69.0,Partially cloudy
2024-01-07 05:00:00,3.3,70.84,0.0,8.0,0.0,Clear
2024-01-07 06:00:00,3.6,65.89,0.0,8.1,78.6,Partially cloudy
2024-01-07 07:00:00,3.1,72.34,0.0,10.0,90.0,Partially cloudy
2024-01-07 08:00:00,3.0,76.69,0.0,8.7,46.9,Partially cloudy
2024-01-07 09:00:00,3.1,78.97,0.0,8.6,31.7,Partially cloudy
2024-01-07 10:00:00,3.8,73.57,0.0,9.6,11.5,Clear
2024-01-07 11:00:00,5.0,68.13,0.0,12.9,11.5,Clear
2024-01-07 12:00:00,5.1,60.63,0.0,11.8,20.9,Partially cloudy
2024-01-07 13:00:00,4.6,61.39,0.0,13.6,50.3,Partially cloudy
2024-01-07 14:00:00,5.0,61.06,0.0,12.5,77.7,Partially cloudy
2024-01-07 15:00:00,4.8,59.67,0.0,11.7,96.2,Overcast
2024-01-07 16:00:00,4.6,60.5,0.0,11.1,96.2,Overcast
2024-01-07 17:00:00,4.5,61.81,0.0,10.4,96.2,Overcast
2024-01-07 18:00:00,4.0,67.4,0.0,9.6,96.2,Overcast
2024-01-07 19:00:00,3.8,71.43,0.0,9.1,100.0,Overcast
2024-01-07 20:00:00,3.8,71.42,0.0,7.6,100.0,Overcast
2024-01-07 21:00:00,3.5,74.02,0.0,7.6,100.0,Overcast
2024-01-07 22:00:00,3.5,75.1,0.0,8.0,100.0,Overcast
2024-01-07 23:00:00,3.5,74.02,0.0,8.6,84.8,Partially cloudy
2024-01-08 00:00:00,3.5,67.81,0.0,9.3,77.7,Partially cloudy
2024-01-08 01:00:00,3.5,62.99,0.0,8.1,90.0,Partially cloudy
2024-01-08 02:00:00,3.5,61.61,0.0,6.9,97.0,Overcast
2024-01-08 03:00:00,3.1,64.78,0.0,7.1,97.0,Overcast
2024-01-08 04:00:00,3.3,64.81,0.0,7.8,100.0,Overcast
2024-01-08 05:00:00,3.5,62.97,0.0,9.5,100.0,Overcast
2024-01-08 06:00:00,3.5,62.48,0.0,10.4,69.5,Partially cloudy
2024-01-08 07:00:00,3.6,60.24,0.0,10.7,90.0,Partially cloudy
2024-01-08 08:00:00,3.6,58.91,0.0,11.1,93.1,Overcast
2024-01-08 09:00:00,3.6,61.14,0.0,12.1,96.2,Overcast
2024-01-08 10:00:00,3.6,61.14,0.0,13.2,100.0,Overcast
2024-01-08 11:00:00,3.6,64.42,0.0,14.3,96.2,Overcast
2024-01-08 12:00:00,3.8,62.6,0.0,14.1,96.2,Overcast
2024-01-08 13:00:00,3.6,62.07,0.0,11.8,80.9,Partially cloudy
2024-01-08 14:00:00,2.6,76.02,0.0,12.8,93.1,Overcast
2024-01-08 15:00:00,2.8,66.19,0.0,15.4,80.9,Partially cloudy
2024-01-08 16:00:00,2.0,72.09,0.0,13.1,74.8,Partially cloudy
2024-01-08 17:00:00,2.0,76.49,0.0,9.7,93.1,Overcast
2024-01-08 18:00:00,2.1,74.87,0.001,9.5,93.1,"Rain, Overcast"
2024-01-08 19:00:00,2.1,69.52,0.0,11.9,96.2,Overcast
2024-01-08 20:00:00,2.5,67.57,0.0,10.5,100.0,Overcast
2024-01-08 21:00:00,2.8,66.16,0.0,10.2,100.0,Overcast
2024-01-08 22:00:00,2.6,64.19,0.0,10.4,100.0,Overcast
2024-01-08 23:00:00,2.6,64.17,0.0,12.2,100.0,Overcast
2024-01-09 00:00:00,2.5,63.68,0.0,12.5,100.0,Overcast
2024-01-09 01:00:00,2.5,65.11,0.0,12.5,100.0,Overcast
2024-01-09 02:00:00,2.5,65.11,0.0,11.0,100.0,Overcast
2024-01-09 03:00:00,2.5,66.11,0.0,11.8,100.0,Overcast
2024-01-09 04:00:00,2.5,67.09,0.0,13.3,100.0,Overcast
2024-01-09 05:00:00,2.5,67.59,0.0,12.1,100.0,Overcast
2024-01-09 06:00:00,2.6,69.63,0.0,12.8,100.0,Overcast
2024-01-09 07:00:00,2.6,68.11,0.0,13.0,96.2,Overcast
2024-01-09 08:00:00,2.6,69.12,0.0,14.2,96.2,Overcast
2024-01-09 09:00:00,2.3,72.19,0.0,14.0,93.1,Overcast
2024-01-09 10:00:00,2.6,71.73,0.0,12.8,73.1,Partially cloudy
2024-01-09 11:00:00,3.1,70.77,0.0,14.5,54.5,Partially cloudy
2024-01-09 12:00:00,4.0,64.03,0.0,15.2,23.8,Partially cloudy
2024-01-09 13:00:00,4.1,63.57,0.0,17.1,11.5,Clear
2024-01-09 14:00:00,4.1,62.19,0.0,17.1,24.0,Partially cloudy
2024-01-09 15:00:00,4.0,64.02,0.0,14.4,23.8,Partially cloudy
2024-01-09 16:00:00,3.8,63.98,0.0,14.3,11.5,Clear
2024-01-09 17:00:00,3.3,60.18,0.0,13.1,11.5,Clear
2024-01-09 18:00:00,2.8,62.34,0.0,14.7,0.0,Clear
2024-01-09 19:00:00,2.6,64.17,0.0,13.6,0.0,Clear
2024-01-09 20:00:00,2.6,66.61,0.0,13.6,0.0,Clear
2024-01-09 21:00:00,2.5,68.59,0.0,14.1,20.9,Partially cloudy
2024-01-09 22:00:00,2.1,69.53,0.0,11.1,24.0,Partially cloudy
2024-01-09 23:00:00,2.1,69.53,0.0,9.8,27.9,Partially cloudy
2024-01-10 00:00:00,2.1,69.54,0.0,8.8,30.5,Partially cloudy
2024-01-10 01:00:00,1.8,73.19,0.0,8.3,24.5,Partially cloudy
2024-01-10 02:00:00,1.6,73.15,0.0,8.3,0.0,Clear
2024-01-10 03:00:00,1.3,73.64,0.0,7.1,0.0,Clear
2024-01-10 04:00:00,1.6,74.8,0.0,7.1,0.0,Clear
2024-01-10 05:00:00,1.6,73.16,0.0,6.2,0.0,Clear
2024-01-10 06:00:00,1.5,68.42,0.0,8.6,0.0,Clear
2024-01-10 07:00:00,1.5,68.4,0.0,9.7,0.0,Clear
2024-01-10 08:00:00,2.0,66.01,0.0,8.8,0.0,Clear
2024-01-10 09:00:00,2.3,64.61,0.0,9.2,0.0,Clear
2024-01-10 10:00:00,3.5,61.6,0.0,11.2,0.0,Clear
2024-01-10 11:00:00,4.1,59.94,0.0,9.9,0.0,Clear
2024-01-10 12:00:00,4.8,57.5,0.0,11.6,11.5,Clear
2024-01-10 13:00:00,5.1,55.88,0.0,11.6,11.5,Clear
2024-01-10 14:00:00,5.6,52.39,0.0,13.0,11.5,Clear
2024-01-10 15:00:00,5.3,51.52,0.0,13.5,11.5,Clear
2024-01-10 16:00:00,4.6,52.11,0.0,12.5,11.5,Clear
2024-01-10 17:00:00,4.1,55.62,0.0,10.3,11.5,Clear
2024-01-10 18:00:00,3.6,58.05,0.0,9.2,11.5,Clear
2024-01-10 19:00:00,3.5,60.69,0.0,11.0,31.7,Partially cloudy
2024-01-10 20:00:00,3.3,61.55,0.0,9.7,50.3,Partially cloudy
2024-01-10 21:00:00,3.5,62.54,0.0,8.2,53.2,Partially cloudy
2024-01-10 22:00:00,3.1,66.74,0.0,7.0,62.1,Partially cloudy
2024-01-10 23:00:00,3.0,68.74,0.0,5.9,93.1,Overcast
2024-01-11 00:00:00,2.1,74.88,0.0,5.6,90.0,Partially cloudy
2024-01-11 01:00:00,2.1,75.99,0.0,5.3,65.4,Partially cloudy
2024-01-11 02:00:00,1.5,78.17,0.0,4.4,0.0,Clear
2024-01-11 03:00:00,1.1,81.63,0.0,5.6,0.0,Clear
2024-01-11 04:00:00,1.1,80.46,0.0,4.7,18.6,Clear
2024-01-11 05:00:00,0.6,85.86,0.0,4.7,12.2,Clear
2024-01-11 06:00:00,0.6,84.62,0.0,5.6,3.1,Clear
2024-01-11 07:00:00,1.0,82.25,0.0,6.7,0.0,Clear
2024-01-11 08:00:00,0.8,81.61,0.0,6.9,25.2,Partially cloudy
2024-01-11 09:00:00,1.3,85.33,0.0,6.8,11.5,Clear
2024-01-11 10:00:00,2.6,83.61,0.0,7.5,29.9,Partially cloudy
2024-01-11 11:00:00,4.0,77.98,0.0,9.0,26.8,Partially cloudy
2024-01-11 12:00:00,4.6,73.71,0.0,11.2,96.2,Overcast
2024-01-11 13:00:00,3.8,75.16,0.0,10.6,93.1,Overcast
2024-01-11 14:00:00,4.1,76.3,0.0,10.4,96.2,Overcast
2024-01-11 15:00:00,4.8,75.36,0.0,8.3,96.2,Overcast
2024-01-11 16:00:00,4.8,79.78,0.0,6.3,96.2,Overcast
2024-01-11 17:00:00,5.0,84.52,0.0,6.4,100.0,Overcast
2024-01-11 18:00:00,4.8,91.94,0.0,7.7,100.0,Overcast
2024-01-11 19:00:00,5.6,85.18,0.0,9.3,100.0,Overcast
2024-01-11 20:00:00,5.6,86.37,0.0,8.9,100.0,Overcast
2024-01-11 21:00:00,5.3,86.96,0.0,8.3,100.0,Overcast
2024-01-11 22:00:00,5.1,90.05,0.0,7.3,100.0,Overcast
2024-01-11 23:00:00,5.1,90.05,0.0,8.7,100.0,Overcast
2024-01-12 00:00:00,5.1,90.03,0.0,8.4,100.0,Overcast
2024-01-12 01:00:00,5.5,84.57,0.0,8.8,100.0,Overcast
2024-01-12 02:00:00,5.3,85.74,0.0,9.2,100.0,Overcast
2024-01-12 03:00:00,5.5,81.63,0.0,10.0,100.0,Overcast
2024-01-12 04:00:00,5.6,78.23,0.0,11.6,100.0,Overcast
2024-01-12 05:00:00,5.6,77.68,0.0,9.7,100.0,Overcast
2024-01-12 06:00:00,5.6,77.68,0.0,9.2,100.0,Overcast
2024-01-12 07:00:00,5.6,76.58,0.0,10.0,100.0,Overcast
2024-01-12 08:00:00,5.6,77.68,0.0,8.2,100.0,Overcast
2024-01-12 09:00:00,5.8,76.61,0.0,9.2,96.2,Overcast
2024-01-12 10:00:00,5.6,76.58,0.0,10.3,96.2,Overcast
2024-01-12 11:00:00,6.0,76.12,0.0,9.3,96.2,Overcast
2024-01-12 12:00:00,5.6,78.21,0.0,8.1,96.2,Overcast
2024-01-12 13:00:00,6.1,75.56,0.0,8.1,100.0,Overcast
2024-01-12 14:00:00,6.1,76.65,0.0,7.5,96.2,Overcast
2024-01-12 15:00:00,5.8,78.26,0.0,8.6,96.2,Overcast
2024-01-12 16:00:00,5.6,78.23,0.0,7.1,96.2,Overcast
2024-01-12 17:00:00,5.6,79.34,0.0,5.9,100.0,Overcast
2024-01-12 18:00:00,5.3,81.0,0.0,6.7,100.0,Overcast
2024-01-12 19:00:00,5.1,80.97,0.0,6.5,100.0,Overcast
2024-01-12 20:00:00,5.1,79.27,0.0,3.5,100.0,Overcast
2024-01-12 21:00:00,4.8,79.8,0.0,2.3,100.0,Overcast
2024-01-12 22:00:00,4.6,80.9,0.0,3.2,100.0,Overcast
2024-01-12 23:00:00,4.5,79.75,0.0,2.6,100.0,Overcast
2024-01-13 00:00:00,4.5,79.75,0.0,3.4,100.0,Overcast
2024-01-13 01:00:00,4.1,80.84,0.0,5.1,100.0,Overcast
2024-01-13 02:00:00,4.0,79.7,0.0,8.1,100.0,Overcast
2024-01-13 03:00:00,3.5,81.35,0.0,7.7,100.0,Overcast
2024-01-13 04:00:00,3.1,83.05,0.0,7.6,100.0,Overcast
2024-01-13 05:00:00,2.6,83.62,0.0,8.0,100.0,Overcast
2024-01-13 06:00:00,2.6,83.02,0.0,8.6,100.0,Overcast
2024-01-13 07:00:00,1.8,83.52,0.0,6.2,100.0,Overcast
2024-01-13 08:00:00,1.6,84.72,0.0,6.6,100.0,Overcast
2024-01-13 09:00:00,1.1,84.65,0.0,4.7,100.0,Overcast
2024-01-13 10:00:00,1.8,85.34,0.0,4.8,100.0,Overcast
2024-01-13 11:00:00,2.3,83.57,0.0,4.7,100.0,Overcast
2024-01-13 12:00:00,3.0,81.28,0.0,4.7,96.2,Overcast
2024-01-13 13:00:00,3.3,79.58,0.0,5.0,96.2,Overcast
2024-01-13 14:00:00,3.6,81.93,0.0,5.4,100.0,Overcast
2024-01-13 15:00:00,4.0,80.83,0.0,4.5,100.0,Overcast
2024-01-13 16:00:00,3.8,80.8,0.0,5.1,96.2,Overcast
2024-01-13 17:00:00,3.5,83.7,0.0,5.5,96.2,Overcast
2024-01-13 18:00:00,3.8,82.56,0.0,4.2,100.0,Overcast
2024-01-13 19:00:00,4.1,82.02,0.0,2.9,100.0,Overcast
2024-01-13 20:00:00,4.0,84.38,0.0,1.9,100.0,Overcast
2024-01-13 21:00:00,4.1,83.79,0.0,3.3,100.0,Overcast
2024-01-13 22:00:00,4.1,83.79,0.0,4.1,100.0,Overcast
2024-01-13 23:00:00,4.0,84.39,0.0,5.4,100.0,Overcast
2024-01-14 00:00:00,3.6,86.78,0.0,6.9,70.0,Partially cloudy
2024-01-14 01:00:00,3.3,86.76,0.0,6.8,96.2,Overcast
2024-01-14 02:00:00,3.1,86.74,0.0,5.7,100.0,Overcast
2024-01-14 03:00:00,3.3,88.0,0.0,5.5,96.2,Overcast
2024-01-14 04:00:00,3.3,88.63,0.0,5.4,96.2,Overcast
2024-01-14 05:00:00,3.1,89.9,0.0,5.4,100.0,Overcast
2024-01-14 06:00:00,3.1,89.9,0.0,5.4,100.0,Overcast
2024-01-14 07:00:00,3.1,89.88,0.0,6.2,100.0,Overcast
2024-01-14 08:00:00,3.1,89.88,0.0,6.5,96.2,Overcast
2024-01-14 09:00:00,3.6,86.79,0.0,6.9,96.2,Overcast
2024-01-14 10:00:00,4.1,83.82,0.0,7.3,96.2,Overcast
2024-01-14 11:00:00,4.5,80.92,0.0,7.6,93.1,Overcast
2024-01-14 12:00:00,5.1,75.4,0.0,8.3,77.7,Partially cloudy
2024-01-14 13:00:00,6.0,71.85,0.0,10.9,59.1,Partially cloudy
2024-01-14 14:00:00,6.0,67.86,0.0,9.5,70.0,Partially cloudy
2024-01-14 15:00:00,6.3,68.89,0.0,10.0,96.2,Overcast
2024-01-14 16:00:00,6.3,66.46,0.0,7.3,93.1,Overcast
2024-01-14 17:00:00,6.0,70.87,0.0,9.0,96.2,Overcast
2024-01-14 18:00:00,5.5,78.8,0.001,7.9,96.2,"Rain, Overcast"
2024-01-14 19:00:00,5.1,83.89,0.001,7.7,93.1,"Rain, Overcast"
2024-01-14 20:00:00,5.1,72.77,0.0,8.1,51.7,Partially cloudy
2024-01-14 21:00:00,5.1,73.8,0.0,9.2,93.1,Overcast
2024-01-14 22:00:00,4.6,76.41,0.0,9.3,69.5,Partially cloudy
2024-01-14 23:00:00,3.6,75.14,0.0,8.4,50.3,Partially cloudy
2024-01-15 00:00:00,3.1,69.78,0.0,6.1,42.6,Partially cloudy
2024-01-15 01:00:00,1.8,73.75,0.0,5.7,0.0,Clear
2024-01-15 02:00:00,1.0,77.53,0.0,4.6,0.0,Clear
2024-01-15 03:00:00,0.6,80.37,0.0,4.5,0.0,Clear
2024-01-15 04:00:00,0.6,77.46,0.0,6.6,0.0,Clear
2024-01-15 05:00:00,0.1,81.49,0.0,4.6,0.0,Clear
2024-01-15 06:00:00,-0.2,84.52,0.0,6.9,0.0,Clear
2024-01-15 07:00:00,0.8,76.35,0.0,8.5,0.0,Clear
2024-01-15 08:00:00,0.5,71.89,0.0,6.3,0.0,Clear
2024-01-15 09:00:00,0.0,74.5,0.0,8.1,11.5,Clear
2024-01-15 10:00:00,1.3,70.95,0.0,10.3,0.0,Clear
2024-01-15 11:00:00,2.6,58.69,0.0,11.7,11.5,Clear
2024-01-15 12:00:00,3.1,55.37,0.0,11.2,11.5,Clear
2024-01-15 13:00:00,3.1,52.49,0.0,11.4,11.5,Clear
2024-01-15 14:00:00,3.3,50.58,0.0,11.7,0.0,Clear
2024-01-15 15:00:00,3.0,50.89,0.0,10.0,0.0,Clear
2024-01-15 16:00:00,2.1,52.21,0.0,7.0,0.0,Clear
2024-01-15 17:00:00,2.0,51.82,0.0,5.1,0.0,Clear
2024-01-15 18:00:00,0.5,58.55,0.0,5.0,0.0,Clear
